producto,categoria,cantidad,precio,total,fecha,region,vendedor
Monitor Gaming,Electrónica,1,400,400,2024-12-12,Este,Juan García
Teclado Mecánico,Electrónica,2,150,300,2024-12-11,Centro,Carlos Pérez
Cámara Canon EOS,Electrónica,1,850,850,2024-12-11,Sur,Ana Martínez
Drone DJI Mini,Electrónica,1,600,600,2024-12-10,Norte,Pedro Sánchez
GoPro Hero 11,Electrónica,1,399,399,2024-12-10,Este,María López
Tablet Samsung,Electrónica,1,450,450,2024-12-09,Centro,Juan García
E-Reader Kobo,Electrónica,2,130,260,2024-12-09,Sur,Carlos Pérez
Smart Speaker,Electrónica,3,100,300,2024-12-08,Norte,Ana Martínez
Proyector Epson,Electrónica,1,550,550,2024-12-08,Este,Pedro Sánchez
Traje Completo,Ropa,1,500,500,2024-12-12,Centro,María López
Vestido Noche,Ropa,1,280,280,2024-12-12,Sur,Juan García
Botas Timberland,Ropa,1,180,180,2024-12-11,Norte,Carlos Pérez
Mocasines Clarks,Ropa,1,150,150,2024-12-11,Este,Ana Martínez
Cartera Coach,Ropa,1,200,200,2024-12-10,Centro,Pedro Sánchez
Bolso Michael Kors,Ropa,1,280,280,2024-12-10,Sur,María López
Reloj Fossil,Ropa,1,175,175,2024-12-09,Norte,Juan García
Gafas Ray-Ban,Ropa,1,160,160,2024-12-09,Este,Carlos Pérez
Pañuelo Seda,Ropa,2,45,90,2024-12-08,Centro,Ana Martínez
Paraguas Premium,Ropa,1,65,65,2024-12-08,Sur,Pedro Sánchez
